iter	Passed	Remaining
436	2230	321
437	2234	316
438	2238	311
439	2242	305
440	2246	300
441	2250	295
442	2254	290
443	2258	284
444	2262	279
445	2265	274
446	2269	269
447	2272	263
448	2277	258
449	2280	253
450	2283	248
451	2286	242
452	2290	237
453	2293	232
454	2296	227
455	2299	221
456	2302	216
457	2305	211
458	2308	206
459	2311	201
460	2314	195
461	2317	190
462	2320	185
463	2323	180
464	2326	175
465	2329	169
466	2332	164
467	2335	159
468	2337	154
469	2340	149
470	2343	144
471	2345	139
472	2348	134
473	2350	128
474	2353	123
475	2356	118
476	2358	113
477	2361	108
478	2364	103
479	2367	98
480	2370	93
481	2372	88
482	2375	83
483	2378	78
484	2381	73
485	2384	68
486	2386	63
487	2389	58
488	2392	53
489	2395	48
490	2398	43
491	2400	39
492	2403	34
493	2406	29
494	2409	24
495	2411	19
496	2414	14
497	2418	9
498	2422	4
499	2425	0
